Role,Soft Skills,Tech Stack,Experience (Years),Salary Range (LKR/Month)
Software Engineer (Full-Stack),"Problem-solving, Communication, Team collaboration, Time management","JavaScript/TypeScript, React, Node.js, HTML/CSS, SQL/NoSQL databases, REST APIs","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","120,000-180,000 (Entry) | 180,000-300,000 (Mid) | 300,000-500,000+ (Senior)"
Frontend Developer,"User empathy, Communication, Attention to detail, Collaborative mindset","HTML5, CSS3, JavaScript/TypeScript, React/Vue/Angular, Responsive design, Bootstrap","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","80,000-120,000 (Entry) | 120,000-200,000 (Mid) | 200,000-350,000 (Senior)"
Backend Developer,"Problem-solving, System design thinking, Communication, Code review skills","Node.js, Python, Java, .NET, Express, Django, Spring Boot, SQL/NoSQL","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","100,000-150,000 (Entry) | 150,000-250,000 (Mid) | 250,000-400,000 (Senior)"
Mobile Developer (iOS/Android),"Attention to detail, Problem-solving, Adaptability, Communication","Swift/Kotlin, Android Studio, iOS SDK, React Native, Flutter, Mobile frameworks","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-250,000 (Mid) | 250,000-450,000 (Senior)"
Flutter Developer,"Problem-solving, Adaptability, Communication, Collaborative approach","Flutter, Dart, Firebase, REST APIs, Mobile UI/UX principles","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","80,000-130,000 (Entry) | 130,000-220,000 (Mid) | 220,000-380,000 (Senior)"
React Native Developer,"Communication, Problem-solving, Learning agility, Teamwork","JavaScript, React Native, Redux, Native modules, Expo","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","85,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-400,000 (Senior)"
Kotlin Developer,"Problem-solving, Attention to detail, Communication, Android expertise","Kotlin, Android SDK, Android Studio, XML, Firebase, Retrofit","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","75,000-125,000 (Entry) | 125,000-210,000 (Mid) | 210,000-350,000 (Senior)"
Python Developer,"Problem-solving, Analytical thinking, Communication, Code quality focus","Python, Django, Flask, FastAPI, NumPy, Pandas, PostgreSQL","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","100,000-150,000 (Entry) | 150,000-280,000 (Mid) | 280,000-450,000 (Senior)"
Java Developer,"Team collaboration, Problem-solving, Analytical skills, Documentation","Java, Spring Boot, Hibernate, Maven/Gradle, SQL databases","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","95,000-145,000 (Entry) | 145,000-260,000 (Mid) | 260,000-420,000 (Senior)"
.NET Developer,"Problem-solving, Team coordination, Communication, Code quality awareness","C#, .NET Core, ASP.NET, LINQ, SQL Server, Visual Studio","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-400,000 (Senior)"
C++ Developer,"Analytical thinking, Problem-solving, Attention to detail, Communication","C++, STL, Boost libraries, CMake, Visual Studio, GCC/Clang","1-3 (Entry), 3-6 (Mid), 7+ (Senior)","110,000-160,000 (Entry) | 160,000-300,000 (Mid) | 300,000-500,000 (Senior)"
PHP Developer,"Troubleshooting, Communication, Problem-solving, Web fundamentals","PHP, Laravel, Symfony, MySQL, WordPress, HTML/CSS","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","70,000-110,000 (Entry) | 110,000-180,000 (Mid) | 180,000-320,000 (Senior)"
Ruby on Rails Developer,"Problem-solving, Team collaboration, Code quality, Communication","Ruby, Ruby on Rails, ActiveRecord, RSpec, PostgreSQL/MySQL","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","85,000-130,000 (Entry) | 130,000-210,000 (Mid) | 210,000-360,000 (Senior)"
Go Developer,"Problem-solving, System thinking, Communication, Performance optimization","Go, Gin, Gorilla, gRPC, PostgreSQL, Docker","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","95,000-145,000 (Entry) | 145,000-260,000 (Mid) | 260,000-420,000 (Senior)"
API Developer,"Problem-solving, API design thinking, Communication, Documentation","RESTful APIs, GraphQL, OpenAPI, JSON/XML, API versioning","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","100,000-150,000 (Entry) | 150,000-270,000 (Mid) | 270,000-450,000 (Senior)"
Game Developer,"Problem-solving, Creativity, Teamwork, Attention to performance detail","C++, C#, Unity, Unreal Engine, Game physics, Graphics libraries","0-3 (Entry), 3-6 (Mid), 7+ (Senior)","80,000-140,000 (Entry) | 140,000-280,000 (Mid) | 280,000-500,000+ (Senior)"
Web Developer,"Communication, Problem-solving, User awareness, Attention to detail","HTML5, CSS3, JavaScript, PHP, Python, MySQL, Responsive design","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","75,000-120,000 (Entry) | 120,000-200,000 (Mid) | 200,000-350,000 (Senior)"
Data Scientist,"Analytical thinking, Communication, Storytelling, Problem-solving","Python, R, SQL, TensorFlow, Scikit-learn, Pandas, Matplotlib, Jupyter","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","150,000-200,000 (Entry) | 200,000-350,000 (Mid) | 350,000-600,000+ (Senior)"
Data Engineer,"Problem-solving, System design, Documentation, Communication","Python, SQL, Spark, Airflow, Kafka, ETL tools, Cloud platforms (AWS/Azure/GCP)","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","130,000-180,000 (Entry) | 180,000-320,000 (Mid) | 320,000-550,000 (Senior)"
Machine Learning Engineer,"Problem-solving, Research mindset, Communication, Experimentation","Python, TensorFlow, PyTorch, Scikit-learn, Keras, OpenCV, MLOps tools","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","160,000-220,000 (Entry) | 220,000-380,000 (Mid) | 380,000-650,000+ (Senior)"
AI Engineer,"Problem-solving, Research, Communication, Innovative thinking","Python, TensorFlow, PyTorch, LLMs, RAG frameworks, FastAPI, Vector databases","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","170,000-250,000 (Entry) | 250,000-420,000 (Mid) | 420,000-700,000+ (Senior)"
NLP Engineer,"Communication, Analytical skills, Problem-solving, Language expertise","Python, NLTK, spaCy, Transformers, NLP libraries, Hugging Face","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","140,000-200,000 (Entry) | 200,000-350,000 (Mid) | 350,000-600,000 (Senior)"
Computer Vision Engineer,"Problem-solving, Analytical thinking, Visual communication, Patience","Python, OpenCV, TensorFlow, PyTorch, Image processing libraries","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","140,000-200,000 (Entry) | 200,000-350,000 (Mid) | 350,000-600,000 (Senior)"
Business Intelligence Engineer,"Communication, Problem-solving, Data presentation, Teamwork","SQL, Python, Tableau/Power BI, dbt, ETL/ELT tools, Cloud data warehouses","3-5 (Entry), 5-7 (Mid), 8+ (Senior)","150,000-220,000 (Entry) | 220,000-400,000 (Mid) | 400,000-700,000+ (Senior)"
Database Administrator,"Documentation, Problem-solving, Attention to detail, Communication","SQL, PostgreSQL/MySQL/Oracle, Backup tools, Recovery procedures, Performance tuning","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","120,000-170,000 (Entry) | 170,000-280,000 (Mid) | 280,000-500,000 (Senior)"
Cloud Database Administrator,"Problem-solving, Communication, Attention to security, Documentation","SQL, AWS RDS/Azure SQL/GCP Cloud SQL, Terraform, Docker, Kubernetes","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","130,000-190,000 (Entry) | 190,000-320,000 (Mid) | 320,000-550,000 (Senior)"
Network Engineer,"Problem-solving, Communication, System thinking, Troubleshooting","Cisco/Juniper routers, TCP/IP, Routing protocols, Firewalls, Network monitoring tools","2-4 (Entry), 5-7 (Mid), 8+ (Senior)","110,000-160,000 (Entry) | 160,000-280,000 (Mid) | 280,000-480,000 (Senior)"
Network Administrator,"Communication, Problem-solving, Attention to detail, System knowledge","TCP/IP, DNS, DHCP, Windows Server, Linux, Network monitoring, Active Directory","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","80,000-120,000 (Entry) | 120,000-200,000 (Mid) | 200,000-350,000 (Senior)"
DevOps Engineer,"Problem-solving, Communication, Automation thinking, Team collaboration","Docker, Kubernetes, Jenkins, GitLab CI/CD, Terraform, AWS/Azure/GCP, Linux","2-4 (Entry), 5-7 (Mid), 8+ (Senior)","140,000-200,000 (Entry) | 200,000-350,000 (Mid) | 350,000-600,000 (Senior)"
Cloud Architect,"Strategic thinking, Communication, Problem-solving, Technical leadership","AWS, Azure, GCP, Terraform, CloudFormation, Network design, Security architecture","5-7 (Entry), 8-10 (Mid), 11+ (Senior)","200,000-280,000 (Entry) | 280,000-450,000 (Mid) | 450,000-800,000+ (Senior)"
Solutions Architect,"Communication, Problem-solving, Strategic thinking, Stakeholder management","AWS, Azure, GCP, Kubernetes, Docker, Microservices, TOGAF","5-7 (Entry), 8-10 (Mid), 11+ (Senior)","180,000-260,000 (Entry) | 260,000-420,000 (Mid) | 420,000-750,000+ (Senior)"
Enterprise Architect,"Strategic thinking, Communication, Leadership, Long-term vision","TOGAF, ArchiMate, System design patterns, Multi-cloud architecture","8-10 (Entry), 11-15 (Mid), 15+ (Senior)","250,000-350,000 (Entry) | 350,000-550,000 (Mid) | 550,000-1,000,000+ (Senior)"
Systems Architect,"System thinking, Communication, Problem-solving, Architecture expertise","System design patterns, Database architecture, Load balancing, Disaster recovery","5-7 (Entry), 8-10 (Mid), 11+ (Senior)","200,000-280,000 (Entry) | 280,000-450,000 (Mid) | 450,000-800,000+ (Senior)"
Infrastructure Engineer,"Problem-solving, Communication, System knowledge, Troubleshooting","Linux/Windows, Virtualization, Network protocols, Monitoring tools, Troubleshooting","2-4 (Entry), 5-7 (Mid), 8+ (Senior)","100,000-150,000 (Entry) | 150,000-260,000 (Mid) | 260,000-450,000 (Senior)"
Site Reliability Engineer (SRE),"Problem-solving, Communication, Systematic approach, Data analysis","Prometheus, Grafana, ELK stack, Kubernetes, SLO/SLI metrics, Incident management","4-5 (Entry), 6-8 (Mid), 9+ (Senior)","150,000-220,000 (Entry) | 220,000-380,000 (Mid) | 380,000-650,000 (Senior)"
Cybersecurity Specialist,"Attention to detail, Communication, Problem-solving, Compliance knowledge","OWASP, Ethical hacking tools, Network security, Firewall management, SSL/TLS","3-5 (Entry), 6-8 (Mid), 9+ (Senior)","130,000-190,000 (Entry) | 190,000-320,000 (Mid) | 320,000-550,000 (Senior)"
Information Security Officer,"Strategic thinking, Communication, Risk assessment, Documentation","Risk assessment tools, Compliance frameworks, Security policies, GDPR/ISO27001","5-7 (Entry), 8-10 (Mid), 11+ (Senior)","160,000-240,000 (Entry) | 240,000-400,000 (Mid) | 400,000-700,000+ (Senior)"
Penetration Tester,"Analytical thinking, Communication, Problem-solving, Security mindset","Metasploit, Burp Suite, OWASP tools, Network exploitation, Vulnerability assessment","6-8 (Entry), 9-11 (Mid), 12+ (Senior)","200,000-300,000 (Entry) | 300,000-500,000 (Mid) | 500,000-900,000+ (Senior)"
Security Incident Response Analyst,"Problem-solving, Communication, Investigation skills, Documentation","SIEM tools, Incident response platforms, Forensics tools, Splunk, ELK Stack","3-5 (Entry), 5-7 (Mid), 8+ (Senior)","140,000-200,000 (Entry) | 200,000-350,000 (Mid) | 350,000-600,000 (Senior)"
IT Compliance Officer,"Attention to detail, Communication, Compliance knowledge, Documentation","Compliance frameworks, Policy management, Audit tools, GDPR/HIPAA knowledge","3-5 (Entry), 5-7 (Mid), 8+ (Senior)","150,000-220,000 (Entry) | 220,000-380,000 (Mid) | 380,000-650,000 (Senior)"
IT Auditor,"Analytical thinking, Communication, Audit expertise, Documentation","Audit frameworks, Risk assessment, GRC tools, Documentation","4-6 (Entry), 7-10 (Mid), 11+ (Senior)","140,000-200,000 (Entry) | 200,000-360,000 (Mid) | 360,000-600,000 (Senior)"
QA Engineer (Manual Testing),"Attention to detail, Communication, Problem-solving, Documentation","Test plans, Test cases, Defect tracking, Manual testing tools, Quality metrics","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","70,000-110,000 (Entry) | 110,000-180,000 (Mid) | 180,000-320,000 (Senior)"
QA Automation Engineer,"Problem-solving, Analytical skills, Communication, Automation thinking","Selenium, UFT/QTP, TestNG, Cucumber, Python/Java, CI/CD integration","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","100,000-150,000 (Entry) | 150,000-260,000 (Mid) | 260,000-450,000 (Senior)"
Performance Testing Engineer,"Attention to performance, Problem-solving, Communication, Analysis skills","JMeter, LoadRunner, Gatling, Performance metrics, Load testing","2-3 (Entry), 4-6 (Mid), 7+ (Senior)","120,000-180,000 (Entry) | 180,000-300,000 (Mid) | 300,000-500,000 (Senior)"
UI/UX Designer,"Communication, Creativity, User empathy, Attention to detail","Figma, Adobe XD, Sketch, Prototyping tools, User research, Wireframing","0-2 (Entry), 3-5 (Mid), 6+ (Senior)","60,000-100,000 (Entry) | 100,000-180,000 (Mid) | 180,000-350,000 (Senior)"
Business Analyst,"Communication, Problem-solving, Analytical skills, Stakeholder management","SQL, Business intelligence tools, Data analysis, Stakeholder communication","1-3 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Project Manager,"Communication, Leadership, Problem-solving, Organization skills","Agile/Scile methodologies, JIRA, MS Project, Risk management, Stakeholder management","3-5 (Entry), 5-7 (Mid), 8+ (Senior)","120,000-180,000 (Entry) | 180,000-300,000 (Mid) | 300,000-500,000+ (Senior)"
Scrum Master,"Leadership, Communication, Agile mindset, Team facilitation","Scrum framework, Agile ceremonies, JIRA, Impediment removal, Team coaching","1-2 (Entry), 2-3 (Mid), 4+ (Senior)","100,000-150,000 (Entry) | 150,000-250,000 (Mid) | 250,000-420,000 (Senior)"
IT Consultant,"Communication, Problem-solving, Advisory skills, Strategic thinking","AWS/Azure certifications, ITIL, Project management, Technology advisory","3-5 (Entry), 6-8 (Mid), 9+ (Senior)","130,000-200,000 (Entry) | 200,000-350,000 (Mid) | 350,000-600,000+ (Senior)"
Technical Writer,"Communication, Technical writing, Organization, Clarity of expression","Technical documentation tools, Markdown, Adobe Technical Communication Suite","2-5 (Entry), 5-8 (Mid), 9+ (Senior)","100,000-150,000 (Entry) | 150,000-280,000 (Mid) | 280,000-500,000+ (Senior)"
IT Support Specialist,"Communication, Problem-solving, Customer service, Patience","Ticketing systems, Help desk software, Remote support tools, User support","0-1 (Entry), 2-3 (Mid), 4+ (Senior)","50,000-80,000 (Entry) | 80,000-140,000 (Mid) | 140,000-280,000 (Senior)"
Help Desk Technician,"Communication, Problem-solving, Troubleshooting, Customer service","Remote support tools, Operating systems, Troubleshooting, Hardware knowledge","0-1 (Entry), 1-2 (Mid), 3+ (Senior)","45,000-75,000 (Entry) | 75,000-120,000 (Mid) | 120,000-240,000 (Senior)"
Hardware Technician,"Problem-solving, Technical knowledge, Communication, Attention to detail","Hardware diagnostics, BIOS/UEFI, Network hardware, System tools","0-2 (Entry), 2-4 (Mid), 5+ (Senior)","60,000-100,000 (Entry) | 100,000-170,000 (Mid) | 170,000-320,000 (Senior)"
System Administrator,"Problem-solving, Communication, System administration, Documentation","Windows/Linux administration, Active Directory, Group Policy, System monitoring","1-2 (Entry), 3-4 (Mid), 5+ (Senior)","70,000-110,000 (Entry) | 110,000-190,000 (Mid) | 190,000-350,000 (Senior)"
Database Developer,"Problem-solving, Analytical skills, Documentation, Communication","SQL, Database design, Stored procedures, Performance optimization, T-SQL/PL-SQL","2-4 (Entry), 5-7 (Mid), 8+ (Senior)","110,000-160,000 (Entry) | 160,000-280,000 (Mid) | 280,000-480,000 (Senior)"
Middleware Architect,"System thinking, Problem-solving, Communication, Architecture expertise","Middleware platforms (MuleSoft, Apache Camel), API management, Integration patterns","4-6 (Entry), 7-9 (Mid), 10+ (Senior)","160,000-240,000 (Entry) | 240,000-400,000 (Mid) | 400,000-700,000+ (Senior)"
Application Integration Engineer,"Problem-solving, Communication, Integration thinking, Teamwork","API integration, Middleware platforms, ETL tools, Custom connectors, Message queues","2-4 (Entry), 5-7 (Mid), 8+ (Senior)","130,000-190,000 (Entry) | 190,000-330,000 (Mid) | 330,000-580,000 (Senior)"
Software Engineer Intern,"Eager to learn, Problem-solving, Teamwork, Communication","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Full-Stack Developer Intern,"Adaptability, Problem-solving, Communication, Collaborative learning","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Frontend Developer Intern,"Attention to detail, Learning mindset, Communication, Design awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Backend Developer Intern,"Problem-solving, Learning orientation, Teamwork, Code quality awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Mobile Developer Intern (iOS),"Attention to detail, Learning mindset, Mobile-first thinking, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Mobile Developer Intern (Android),"Problem-solving, Learning mindset, Android focus, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Flutter Developer Intern,"Adaptability, Problem-solving, Learning agility, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
React Native Developer Intern,"Learning orientation, Problem-solving, Cross-platform thinking, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Python Developer Intern,"Problem-solving, Analytical thinking, Learning mindset, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Java Developer Intern,"Team collaboration, Learning orientation, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
.NET Developer Intern,"Learning mindset, Problem-solving, Teamwork, Adaptability","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
PHP Developer Intern,"Quick learning, Problem-solving, Teamwork, Web awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
